Date,Open,High,Low,Close,Adj Close,Volume
2005-09-30,522.031921,522.031921,495.784485,522.031921,404.258698,649778
2005-10-03,null,null,null,null,null,null
2005-10-04,495.784485,539.530151,495.784485,495.784485,383.932800,97723
2005-10-05,510.366364,524.948242,510.366364,510.366364,395.224945,142299
2005-10-06,522.031921,522.031921,522.031921,522.031921,404.258698,42861
2005-10-07,522.031921,524.948242,522.031921,522.031921,404.258698,65149
2005-10-10,539.530151,539.530151,539.530151,539.530151,417.809265,5143
2005-10-11,554.112061,554.112061,524.948242,554.112061,429.101410,25716
2005-10-12,554.112061,554.112061,542.446533,554.112061,429.101410,22287
2005-10-13,null,null,null,null,null,null
2005-10-14,554.112061,554.112061,554.112061,554.112061,429.101410,1714
2005-10-17,554.112061,554.112061,554.112061,554.112061,429.101410,0
2005-10-18,null,null,null,null,null,null
2005-10-19,554.112061,554.112061,554.112061,554.112061,429.101410,8572
2005-10-20,554.112061,554.112061,554.112061,554.112061,429.101410,0
2005-10-21,510.366364,510.366364,510.366364,510.366364,395.224945,36003
2005-10-24,548.279297,551.195679,548.279297,548.279297,424.584473,68578
2005-10-25,548.279297,548.279297,548.279297,548.279297,424.584473,0
2005-10-26,null,null,null,null,null,null
2005-10-27,510.366364,510.366364,510.366364,510.366364,395.224945,32574
2005-10-28,551.195679,551.195679,548.279297,551.195679,426.842987,80579
2005-10-31,null,null,null,null,null,null
2005-11-01,null,null,null,null,null,null
2005-11-07,551.195679,551.195679,551.195679,551.195679,426.842987,0
2005-11-08,551.195679,551.195679,551.195679,551.195679,426.842987,0
2005-11-09,551.195679,551.195679,551.195679,551.195679,426.842987,0
2005-11-10,null,null,null,null,null,null
2005-11-11,null,null,null,null,null,null
2005-11-14,null,null,null,null,null,null
2005-11-15,527.864624,527.864624,527.864624,527.864624,408.775543,8572
2005-11-16,554.112061,554.112061,554.112061,554.112061,429.101410,8572
2005-11-17,null,null,null,null,null,null
2005-11-18,577.443115,577.443115,577.443115,577.443115,447.168854,8572
2005-11-21,612.439636,612.439636,612.439636,612.439636,474.269958,8572
2005-11-22,null,null,null,null,null,null
2005-11-23,null,null,null,null,null,null
2005-11-24,null,null,null,null,null,null
2005-11-25,null,null,null,null,null,null
2005-11-28,656.185364,656.185364,656.185364,656.185364,508.146454,8572
2005-11-29,null,null,null,null,null,null
2005-11-30,null,null,null,null,null,null
2005-12-01,null,null,null,null,null,null
2005-12-02,null,null,null,null,null,null
2005-12-05,null,null,null,null,null,null
2005-12-06,597.857727,597.857727,597.857727,597.857727,462.977814,3428
2005-12-07,597.857727,597.857727,597.857727,597.857727,462.977814,15430
2005-12-08,null,null,null,null,null,null
2005-12-09,597.857727,597.857727,597.857727,597.857727,462.977814,8572
2005-12-12,null,null,null,null,null,null
2005-12-13,597.857727,597.857727,583.275879,597.857727,462.977814,138870
2005-12-14,null,null,null,null,null,null
2005-12-15,null,null,null,null,null,null
2005-12-16,null,null,null,null,null,null
2005-12-19,null,null,null,null,null,null
2005-12-20,null,null,null,null,null,null
2005-12-21,null,null,null,null,null,null
2005-12-22,null,null,null,null,null,null
2005-12-23,null,null,null,null,null,null
2005-12-26,597.857727,597.857727,597.857727,597.857727,462.977814,0
2005-12-27,null,null,null,null,null,null
2005-12-28,null,null,null,null,null,null
2005-12-29,null,null,null,null,null,null
2005-12-30,597.857727,597.857727,597.857727,597.857727,462.977814,0
2006-01-02,null,null,null,null,null,null
2006-01-03,619.730591,619.730591,597.857727,619.730591,479.915955,12001
2006-01-04,null,null,null,null,null,null
2006-01-05,null,null,null,null,null,null
2006-01-06,null,null,null,null,null,null
2006-01-09,null,null,null,null,null,null
2006-01-10,619.730591,619.730591,619.730591,619.730591,479.915955,0
2006-01-11,null,null,null,null,null,null
2006-01-12,627.021545,627.021545,612.439636,627.021545,485.562103,8572
2006-01-13,null,null,null,null,null,null
2006-01-16,null,null,null,null,null,null
2006-01-17,null,null,null,null,null,null
2006-01-18,null,null,null,null,null,null
2006-01-19,null,null,null,null,null,null
2006-01-20,null,null,null,null,null,null
2006-01-23,null,null,null,null,null,null
2006-01-24,null,null,null,null,null,null
2006-01-25,null,null,null,null,null,null
2006-01-26,null,null,null,null,null,null
2006-01-27,null,null,null,null,null,null
2006-01-30,null,null,null,null,null,null
2006-01-31,627.021545,627.021545,627.021545,627.021545,485.562103,0
2006-02-01,null,null,null,null,null,null
2006-02-02,null,null,null,null,null,null
2006-02-03,670.767212,670.767212,641.603455,670.767212,519.438538,20573
2006-02-06,627.021545,641.603455,627.021545,627.021545,485.562103,54862
2006-02-07,612.439636,634.312500,612.439636,612.439636,474.269958,526337
2006-02-08,612.439636,612.439636,612.439636,612.439636,474.269958,17144
2006-02-09,619.730591,619.730591,619.730591,619.730591,479.915955,17144
2006-02-10,null,null,null,null,null,null
2006-02-13,627.021545,627.021545,619.730591,627.021545,485.562103,51433
2006-02-14,627.021545,627.021545,627.021545,627.021545,485.562103,17144
2006-02-15,null,null,null,null,null,null
2006-02-16,627.021545,627.021545,627.021545,627.021545,485.562103,17144
2006-02-17,612.439636,612.439636,612.439636,612.439636,474.269958,53148
2006-02-20,612.439636,612.439636,612.439636,612.439636,474.269958,17144
2006-02-21,null,null,null,null,null,null
2006-02-22,612.439636,612.439636,612.439636,612.439636,474.269958,17144
2006-02-23,null,null,null,null,null,null
2006-02-24,619.730591,619.730591,583.275879,619.730591,479.915955,222879
2006-02-27,612.439636,612.439636,612.439636,612.439636,474.269958,426899
2006-02-28,605.148682,670.767212,605.148682,605.148682,468.623840,485190
2006-03-01,612.439636,619.730591,605.148682,612.439636,474.269958,54862
2006-03-02,605.148682,605.148682,605.148682,605.148682,468.623840,17144
2006-03-03,null,null,null,null,null,null
2006-03-06,612.439636,619.730591,605.148682,612.439636,474.269958,54862
2006-03-07,612.439636,612.439636,605.148682,612.439636,474.269958,42861
2006-03-08,583.275879,590.566833,583.275879,583.275879,451.685760,34289
2006-03-09,605.148682,605.148682,605.148682,605.148682,468.623840,3428
2006-03-10,null,null,null,null,null,null
2006-03-13,590.566833,612.439636,590.566833,590.566833,457.331757,10286
2006-03-14,590.566833,612.439636,612.439636,612.439636,474.269958,8572
2006-03-15,null,null,null,null,null,null
2006-03-16,612.439636,612.439636,590.566833,612.439636,474.269958,42861
2006-03-17,583.275879,612.439636,583.275879,583.275879,451.685760,138870
2006-03-20,612.439636,612.439636,612.439636,612.439636,474.269958,8572
2006-03-21,612.439636,619.730591,605.148682,619.730591,479.915955,560626
2006-03-22,null,null,null,null,null,null
2006-03-23,619.730591,605.148682,605.148682,605.148682,468.623840,3428
2006-03-24,605.148682,605.148682,605.148682,605.148682,468.623840,34289
2006-03-27,605.148682,605.148682,605.148682,605.148682,468.623840,8572
2006-03-28,612.439636,612.439636,597.857727,612.439636,474.269958,375465
